,Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK,Market Cap,Volume Avg,Sector ID,Sector,IDs,Sub-industry
,FISV,Fiserv Inc,reports,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",,798354,18021770031,1152225,7,,,
,FLIR,FLIR Systems,reports,Industrials,Aerospace & Defense,"Wilsonville, Oregon",,354908,4299329005,700024,6,,,
,FLS,Flowserve Corporation,reports,Industrials,Industrial Machinery,"Irving, Texas",,30625,7410640010,1913300,6,,,
,FLR,Fluor Corp.,reports,Industrials,Diversified Commercial Services,"Irving, Texas",3/31/1980,1124198,8371859995,2206332,6,,,
,FMC,FMC Corporation,reports,Materials,Diversified Chemicals,"Philadelphia, Pennsylvania",,37785,7662853995,1049366,8,,,
,FTI,FMC Technologies Inc.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,1135152,8764564989,3383365,3,,,
,F,Ford Motor,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",,37996,56614190006,27769112,1,,,
,FOSL,"Fossil, Inc.",reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Richardson, Texas",,883569,5107922031,807824,1,,,
,BEN,Franklin Resources,reports,Financials,Diversified Financial Services,"San Mateo, California",,38777,32078279999,2029986,4,,,
,FCX,Freeport-McMoran Cp & Gld,reports,Materials,Diversified Metals & Mining,"Phoenix, Arizona",,831259,17467580001,20063936,8,,,
,FTR,Frontier Communications,reports,Telecommunications Services,Integrated Telecommunications Services,"Stamford, Connecticut",,20520,6723962999,7865656,9,,,
,GME,GameStop Corp.,reports,Consumer Discretionary,Specialty Stores,"Grapevine, Texas",,1326380,3825169013,3527408,1,,,
,GCI,Gannett Co.,reports,Consumer Discretionary,Publishing,"McLean, Virginia",12/31/1975,39899,7003014989,1589904,1,,,
,GPS,Gap (The),reports,Consumer Discretionary,Apparel Retail,"San Francisco, California",8/31/1986,39911,17447100007,3284322,1,,,
,GRMN,Garmin Ltd.,reports,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/2012,1121788,10039420018,1323420,1,,,
,GD,General Dynamics,reports,Industrials,Aerospace & Defense,"Falls Church, Virginia",,40533,44247579993,1878734,6,,,
,GE,General Electric,reports,Industrials,Industrial Conglomerates,"Fairfield, Connecticut",,40545,239908000002,42668728,6,,,
,GGP,General Growth Properties Inc.,reports,Financials,REITs,"Chicago, Illinois",12/10/2013,895648,26682360002,3524046,4,,,
,GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",3/31/1969,40704,31684680017,3277435,2,,,
,GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/2013,1467858,52410429991,15036730,1,,,
,GPC,Genuine Parts,reports,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",12/31/1973,40987,14206500027,935797,1,,,
,GNW,Genworth Financial Inc.,reports,Financials,Life & Health Insurance,"Richmond, Virginia",,1276520,3466686000,6511897,4,,,
,GILD,Gilead Sciences,reports,Health Care,Biotechnology,"Foster City, California",,882095,157172700027,19184187,5,,,
